"CountryCode","Ranking","GDP"
"USA",1,16244600
"CHN",2,8227103
"JPN",3,5959718
"DEU",4,3428131
"FRA",5,2612878
"GBR",6,2471784
"BRA",7,2252664
"RUS",8,2014775
"ITA",9,2014670
"IND",10,1841710
"CAN",11,1821424
"AUS",12,1532408
"ESP",13,1322965
"MEX",14,1178126
"KOR",15,1129598
"IDN",16,878043
"TUR",17,789257
"NLD",18,770555
"SAU",19,711050
"CHE",20,631173
"SWE",21,523806
"IRN",22,514060
"NOR",23,499667
"POL",24,489795
"BEL",25,483262
"ARG",26,475502
"AUT",27,394708
"ZAF",28,384313
"VEN",29,381286
"COL",30,369606
"THA",31,365966
"ARE",32,348595
"DNK",33,314887
"MYS",34,305033
"SGP",35,274701
"CHL",36,269869
"HKG",37,263259
"EGY",38,262832
"NGA",39,262597
"ISR",40,258217
"PHL",41,250182
"GRC",42,249099
"FIN",43,247546
"PAK",44,225143
"PRT",45,212274
"IRL",46,210771
"IRQ",47,210280
"DZA",48,205789
"PER",49,203790
"KAZ",50,203521
"CZE",51,196446
"ROM",52,192711
"UKR",53,176309
"QAT",54,171476
"NZL",55,167347
"KWT",56,160913
"VNM",57,155820
"HUN",58,124600
"BGD",59,116355
"AGO",60,114147
"PRI",61,101496
"MAR",62,95982
"SVK",63,91149
"ECU",64,84040
"SYR",65,73672
"OMN",66,69972
"CUB",67,68234
"AZE",68,66605
"BLR",69,63267
"LKA",70,59423
"HRV",71,59228
"DOM",72,59047
"SDN",73,58769
"LUX",74,55178
"UZB",75,51113
"BGR",76,50972
"GTM",77,50234
"URY",78,49920
"TUN",79,45662
"SVN",80,45279
"CRI",81,45104
"MAC",82,43582
"LBN",83,42945
"LTU",84,42344
"ETH",85,41605
"GHA",86,40711
"KEN",87,40697
"SRB",88,37489
"PAN",89,36253
"YEM",90,35646
"TKM",91,35164
"JOR",92,31015
"BHR",93,29044
"LVA",94,28373
"TZA",95,28242
"BOL",96,27035
"PRY",97,25502
"CMR",98,25322
"CIV",99,24680
"SLV",100,23864
"TTO",101,23320
"CYP",102,22767
"EST",103,22390
"ZMB",104,20678
"AFG",105,20497
"UGA",106,19881
"NPL",107,18963
"HND",108,18434
"GAB",109,18377
"GNQ",110,17697
"BIH",111,17466
"ZAR",112,17204
"BRN",113,16954
"GEO",114,15747
"PNG",115,15654
"JAM",116,14755
"BWA",117,14504
"MOZ",118,14244
"SEN",119,14046
"KHM",120,14038
"COG",121,13678
"ISL",122,13579
"NAM",123,13072
"TCD",124,12887
"ALB",125,12648
"NIC",126,10507
"MUS",127,10486
"BFA",128,10441
"MLI",129,10308
"MNG",130,10271
"SSD",131,10220
"MDG",132,9975
"ARM",133,9951
"ZWE",134,9802
"MKD",135,9613
"LAO",136,9418
"MLT",137,8722
"BHS",138,8149
"HTI",139,7843
"BEN",140,7557
"MDA",141,7253
"RWA",142,7103
"TJK",143,6972
"NER",144,6773
"KGZ",145,6475
"KSV",146,6445
"MCO",147,6075
"GIN",148,5632
"BMU",149,5474
"SUR",150,5012
"MNE",151,4373
"MWI",152,4264
"BRB",153,4225
"MRT",154,4199
"FJI",155,3908
"TGO",156,3814
"SLE",157,3796
"SWZ",158,3744
"ERI",159,3092
"GUY",160,2851
"ABW",161,2584
"BDI",162,2472
"LSO",163,2448
"MDV",164,2222
"CAF",165,2184
"CPV",166,1827
"BTN",167,1780
"LBR",168,1734
"BLZ",169,1493
"TMP",170,1293
"LCA",171,1239
"ATG",172,1134
"SYC",173,1129
"SLB",174,1008
"GMB",175,917
"GNB",176,822
"VUT",177,787
"GRD",178,767
"KNA",178,767
"VCT",180,713
"WSM",181,684
"COM",182,596
"DMA",183,480
"TON",184,472
"FSM",185,326
"STP",186,263
"PLW",187,228
"MHL",188,182
"KIR",189,175
"TUV",190,40
